dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,featurization,0,21,0.7561169874456249,0.876,0.014966629547095779,2.0
nyt,featurization,0,22,0.7561169874456249,0.876,0.014966629547095779,2.0
nyt,featurization,0,23,0.7561169874456249,0.874,0.01200000000000001,2.0
nyt,featurization,0,24,0.7561169874456249,0.876,0.01019803902718558,2.0
nyt,featurization,0,25,0.7561169874456249,0.876,0.01019803902718558,2.0
nyt,featurization,0,26,0.7561169874456249,0.8780000000000001,0.01720465053408527,2.0
nyt,featurization,0,27,0.7561169874456249,0.898,0.014696938456699081,2.0
nyt,featurization,0,28,0.7561169874456249,0.8960000000000001,0.01200000000000001,2.0
nyt,featurization,0,29,0.7561169874456249,0.8939999999999999,0.010198039027185577,2.0
nyt,featurization,0,30,0.7561169874456249,0.8939999999999999,0.014966629547095779,2.0
nyt,featurization,0,31,0.7561169874456249,0.892,0.014696938456699083,2.0
nyt,featurization,0,32,0.7561169874456249,0.8939999999999999,0.01019803902718558,2.0
nyt,featurization,0,33,0.7561169874456249,0.8960000000000001,0.01019803902718558,2.0
nyt,featurization,0,34,0.7561169874456249,0.9,0.012649110640673528,3.0
nyt,featurization,0,35,0.7561169874456249,0.908,0.011661903789690611,3.0
nyt,featurization,0,36,0.7561169874456249,0.906,0.01200000000000001,3.0
nyt,featurization,0,37,0.7561169874456249,0.906,0.016248076809271934,3.0
nyt,featurization,0,38,0.7561169874456249,0.9039999999999999,0.013564659966250548,3.0
nyt,featurization,0,39,0.7561169874456249,0.9,0.016733200530681523,3.0
nyt,featurization,0,40,0.7561169874456249,0.9,0.02097617696340305,3.0
nyt,featurization,0,41,0.7561169874456249,0.9040000000000001,0.014966629547095779,3.0
nyt,featurization,0,42,0.7561169874456249,0.9039999999999999,0.01743559577416271,3.0
nyt,featurization,0,43,0.7561169874456249,0.9019999999999999,0.02315167380558047,3.0
nyt,featurization,0,44,0.7561169874456249,0.898,0.022271057451320107,3.0
nyt,featurization,0,45,0.7561169874456249,0.89,0.016733200530681523,3.0
nyt,featurization,0,46,0.7561169874456249,0.8859999999999999,0.016248076809271934,3.0
nyt,featurization,0,47,0.7561169874456249,0.892,0.016000000000000014,3.0
nyt,featurization,0,48,0.7561169874456249,0.8960000000000001,0.013564659966250548,3.0
nyt,featurization,0,49,0.7561169874456249,0.898,0.00979795897113272,3.0
nyt,featurization,0,50,0.7561169874456249,0.8960000000000001,0.008000000000000007,3.0
nyt,baseline,1,1,0.07543783209065999,0.246,0.02576819745345024,0.0
nyt,baseline,1,2,0.16715302010281513,0.31200000000000006,0.01833030277982336,0.0
nyt,baseline,1,3,0.16715302010281513,0.316,0.030724582991474427,0.0
nyt,baseline,1,4,0.23280750127675395,0.36000000000000004,0.04604345773288536,0.0
nyt,baseline,1,5,0.2540715037951905,0.38400000000000006,0.04498888751680798,0.0
nyt,baseline,1,6,0.3864581727994848,0.522,0.048744230427815755,0.0
nyt,baseline,1,7,0.3864581727994848,0.5519999999999999,0.05706137047074844,0.0
nyt,baseline,1,8,0.46898859558965633,0.638,0.06939740629158989,0.0
nyt,baseline,1,9,0.46898859558965633,0.648,0.05192301994298869,0.0
nyt,baseline,1,10,0.4848538844232732,0.6599999999999999,0.05796550698475777,0.0
nyt,baseline,1,11,0.4848538844232732,0.6559999999999999,0.05642694391866354,0.0
nyt,baseline,1,12,0.4848538844232732,0.6599999999999999,0.04604345773288535,0.0
nyt,baseline,1,13,0.4848538844232732,0.652,0.054552726787943435,0.0
nyt,baseline,1,14,0.4848538844232732,0.65,0.056213877290220794,0.0
nyt,baseline,1,15,0.4945367394135835,0.678,0.044,0.0
nyt,baseline,1,16,0.4945367394135835,0.684,0.032619012860600156,0.0
nyt,baseline,1,17,0.4945367394135835,0.6880000000000001,0.029257477676655562,0.0
nyt,baseline,1,18,0.4945367394135835,0.6839999999999999,0.028705400188814623,0.0
nyt,baseline,1,19,0.5024538617623958,0.708,0.014696938456699083,0.0
nyt,baseline,1,20,0.5024538617623958,0.726,0.019595917942265444,0.0
nyt,baseline,1,21,0.5024538617623958,0.726,0.021540659228538036,0.0
nyt,baseline,1,22,0.5082476335408772,0.736,0.019595917942265444,0.0
nyt,baseline,1,23,0.5082476335408772,0.734,0.024979991993593614,0.0
nyt,baseline,1,24,0.5082476335408772,0.7339999999999999,0.018547236990991423,0.0
nyt,baseline,1,25,0.5082476335408772,0.7460000000000001,0.01200000000000001,0.0
nyt,baseline,1,26,0.5082476335408772,0.746,0.01019803902718558,0.0
nyt,baseline,1,27,0.5082476335408772,0.736,0.01019803902718558,0.0
nyt,baseline,1,28,0.5082476335408772,0.736,0.01200000000000001,0.0
nyt,baseline,1,29,0.5089235592292163,0.7459999999999999,0.014966629547095779,0.0
nyt,baseline,1,30,0.5089235592292163,0.752,0.018330302779823376,0.0
nyt,baseline,1,31,0.5089235592292163,0.7459999999999999,0.02059126028197402,0.0
nyt,baseline,1,32,0.5089235592292163,0.752,0.014696938456699083,0.0
nyt,baseline,1,33,0.5330434038100276,0.752,0.013266499161421611,0.0
nyt,baseline,1,34,0.5330434038100276,0.752,0.017204650534085267,0.0
nyt,baseline,1,35,0.5330434038100276,0.7579999999999999,0.017204650534085267,0.0
nyt,baseline,1,36,0.537705565764555,0.76,0.028284271247461926,0.0
nyt,baseline,1,37,0.537705565764555,0.756,0.028705400188814675,0.0
nyt,baseline,1,38,0.537705565764555,0.752,0.025612496949731417,0.0
nyt,baseline,1,39,0.537705565764555,0.752,0.02227105745132011,0.0
nyt,baseline,1,40,0.537705565764555,0.752,0.013266499161421611,0.0
nyt,baseline,1,41,0.543858031259408,0.762,0.019390719429665335,0.0
nyt,baseline,1,42,0.543858031259408,0.758,0.013266499161421611,0.0
nyt,baseline,1,43,0.543858031259408,0.756,0.016248076809271934,0.0
nyt,baseline,1,44,0.543858031259408,0.758,0.013266499161421611,0.0
nyt,baseline,1,45,0.543858031259408,0.754,0.01019803902718558,0.0
nyt,baseline,1,46,0.543858031259408,0.756,0.028000000000000025,0.0
nyt,baseline,1,47,0.543858031259408,0.754,0.03929376540877699,0.0
nyt,baseline,1,48,0.543858031259408,0.75,0.033466401061363046,0.0
nyt,baseline,1,49,0.543858031259408,0.75,0.032863353450309996,0.0
nyt,baseline,1,50,0.543858031259408,0.768,0.024819347291981736,0.0
nyt,prompting,1,1,0.25391494884507015,0.326,0.01200000000000001,0.0
nyt,prompting,1,2,0.2584488816617833,0.35,0.008944271909999142,0.0
nyt,prompting,1,3,0.34091515922300364,0.43,0.014142135623730963,1.0
nyt,prompting,1,4,0.34091515922300364,0.42000000000000004,0.008944271909999166,1.0
nyt,prompting,1,5,0.3562884205079427,0.45199999999999996,0.02993325909419152,1.0
nyt,prompting,1,6,0.3562884205079427,0.458,0.017204650534085247,1.0
